,0,1,2,3,4
0,7,2,3,4,5
1,Раздел 1. Активы,,,,
2,1,Денежные средства,5,2114 128,987 759
3,2,"Финансовые активы, оцениваемые по справедливой стоимостичерез прибыль или убыток, в том числе:",,12 315 560,8 457 336
4,,"финансовые активы, в обязательном порядке классифицируемые какоцениваемые по справедливой стоимости через прибыль или убыток",6,12 315 ве,8 457 336
5,8,"Финансовые активы, оцениваемые по амортизированнойстоимости, в том числе:",,28 637 ин,41 197 918
6,9,средства в кредитных организациях и банках-нерезидентах,10,20 345 110,27 676 306
7,10,займы выданные и прочие размещенные средства,11,6 894 759,"6 500 106,"
8,ч,дебиторская задолженность,42,1 398 106,7 021 506
9,17,Нематериальные активы,18,30 380,27 074
10,18,Основные средства,19,142 136,254 720
11,19,Требования по текущему налогу на прибыль,48,249 063,39 323
12,20,Отложенные налоговые активы,48,124 394,40 388
13,21,Прочие активы,20,101 994,124 369
14,22,Итого активов,,43 715 630,51 128 887
15,Раздел 1. Обязательства,,,,
16,23,"Финансовые обязательства, оцениваемые по справедливойстоимости через прибыль или убыток, в том числе: ", ,999 118,458 954
17,24," финансовые обязательства, в обязательном порядкеклассифицируемые как оцениваемые по справедливой стоимостичерез прибыль или убыток",21,999 118,458 954
18,26,"Финансовые обязательства, оцениваемые по амортизированнойстоимости, в том числе: ",,29 485 286,35 962 264
19,ЭТ,средства клиентов,23,6 028 004,7 843 792
20,28,"кредиты, займы и прочие привлеченные средства",24,23 321 617,27 388 860
21,30,кредиторская задолженность,26,135 665,729 612
22,36,Прочие обязательства,29,1 016 209,955 570
23,7,Итого обязательств,,31 500 613,37 376 788
24,— Раздел 11. Капитал,,,,
25,38,Уставный капитал, ,1 527 840,1 527 840
26,39,Добавочный капитал,,9102,9102
27,51,Нераспределенная прибыль (непокрытый убыток),,10 678 075,12 215 157
28,52,Итого капитала,,12 215 017,13 752 099
29,53,Итого капитала и обязательств, ,43 715 630,51 128 887
